,الفجر,الشروق,الظهر,العصر,المغرب,العشاء
2023-02-24,05:56:00,07:20:00,12:58:00,16:09:00,18:39:00,19:55:00
2023-02-25,05:55:00,07:19:00,12:58:00,16:09:00,18:40:00,19:56:00
2023-02-26,05:54:00,07:18:00,12:57:00,16:10:00,18:40:00,19:56:00
2023-02-27,05:53:00,07:17:00,12:57:00,16:10:00,18:41:00,19:57:00
2023-02-28,05:52:00,07:15:00,12:57:00,16:11:00,18:42:00,19:58:00
2023-03-01,05:50:00,07:14:00,12:57:00,16:11:00,18:43:00,19:59:00
2023-03-02,05:49:00,07:13:00,12:57:00,16:12:00,18:44:00,20:00:00
2023-03-03,05:48:00,07:12:00,12:56:00,16:12:00,18:45:00,20:01:00
2023-03-04,05:47:00,07:10:00,12:56:00,16:13:00,18:46:00,20:02:00
2023-03-05,05:45:00,07:09:00,12:56:00,16:13:00,18:47:00,20:02:00
2023-03-06,05:44:00,07:08:00,12:56:00,16:14:00,18:47:00,20:03:00
2023-03-07,05:43:00,07:06:00,12:56:00,16:14:00,18:48:00,20:04:00
2023-03-08,05:41:00,07:05:00,12:55:00,16:15:00,18:49:00,20:05:00
2023-03-09,05:40:00,07:04:00,12:55:00,16:15:00,18:50:00,20:06:00
2023-03-10,05:39:00,07:02:00,12:55:00,16:15:00,18:51:00,20:07:00
2023-03-11,05:37:00,07:01:00,12:55:00,16:16:00,18:52:00,20:07:00
2023-03-12,05:36:00,07:00:00,12:54:00,16:16:00,18:52:00,20:08:00
2023-03-13,05:35:00,06:58:00,12:54:00,16:17:00,18:53:00,20:09:00
2023-03-14,05:33:00,06:57:00,12:54:00,16:17:00,18:54:00,20:10:00
2023-03-15,05:32:00,06:56:00,12:53:00,16:17:00,18:55:00,20:11:00
2023-03-16,05:30:00,06:54:00,12:53:00,16:18:00,18:56:00,20:12:00
2023-03-17,05:29:00,06:53:00,12:53:00,16:18:00,18:56:00,20:13:00
2023-03-18,05:27:00,06:51:00,12:53:00,16:18:00,18:57:00,20:13:00
2023-03-19,05:26:00,06:50:00,12:52:00,16:19:00,18:58:00,20:14:00
2023-03-20,05:25:00,06:49:00,12:52:00,16:19:00,18:59:00,20:15:00
2023-03-21,05:23:00,06:47:00,12:52:00,16:19:00,19:00:00,20:16:00
2023-03-22,05:22:00,06:46:00,12:51:00,16:20:00,19:00:00,20:17:00
2023-03-23,05:19:00,06:44:00,12:51:00,16:20:00,19:01:00,20:19:00
2023-03-24,05:18:00,06:43:00,12:51:00,16:20:00,19:02:00,20:20:00
2023-03-25,05:16:00,06:42:00,12:51:00,16:20:00,19:03:00,20:21:00
2023-03-26,05:15:00,06:40:00,12:50:00,16:21:00,19:04:00,20:21:00
2023-03-27,05:13:00,06:39:00,12:50:00,16:21:00,19:04:00,20:22:00
2023-03-28,05:12:00,06:38:00,12:50:00,16:21:00,19:05:00,20:23:00
2023-03-29,05:10:00,06:36:00,12:49:00,16:21:00,19:06:00,20:24:00
2023-03-30,05:09:00,06:35:00,12:49:00,16:21:00,19:07:00,20:25:00
2023-03-31,05:07:00,06:33:00,12:49:00,16:22:00,19:08:00,20:26:00
2023-04-01,05:05:00,06:32:00,12:48:00,16:22:00,19:08:00,20:27:00
2023-04-02,05:04:00,06:31:00,12:48:00,16:22:00,19:09:00,20:28:00
2023-04-03,05:02:00,06:29:00,12:48:00,16:22:00,19:10:00,20:29:00
2023-04-04,05:01:00,06:28:00,12:48:00,16:22:00,19:11:00,20:30:00
2023-04-05,04:59:00,06:27:00,12:47:00,16:22:00,19:11:00,20:31:00
2023-04-06,04:58:00,06:25:00,12:47:00,16:23:00,19:12:00,20:32:00
2023-04-07,04:56:00,06:24:00,12:47:00,16:23:00,19:13:00,20:33:00
2023-04-08,04:55:00,06:22:00,12:46:00,16:23:00,19:14:00,20:34:00
2023-04-09,04:53:00,06:21:00,12:46:00,16:23:00,19:15:00,20:35:00
2023-04-10,04:52:00,06:20:00,12:46:00,16:23:00,19:15:00,20:36:00
2023-04-11,04:50:00,06:19:00,12:46:00,16:23:00,19:16:00,20:37:00
2023-04-12,04:48:00,06:17:00,12:45:00,16:23:00,19:17:00,20:38:00
2023-04-13,04:47:00,06:16:00,12:45:00,16:24:00,19:18:00,20:39:00
2023-04-14,04:45:00,06:15:00,12:45:00,16:24:00,19:19:00,20:40:00
2023-04-15,04:44:00,06:13:00,12:45:00,16:24:00,19:19:00,20:41:00
2023-04-16,04:42:00,06:12:00,12:44:00,16:24:00,19:20:00,20:42:00
2023-04-17,04:41:00,06:11:00,12:44:00,16:24:00,19:21:00,20:43:00
2023-04-18,04:39:00,06:10:00,12:44:00,16:24:00,19:22:00,20:44:00
2023-04-19,04:38:00,06:08:00,12:44:00,16:24:00,19:23:00,20:45:00
2023-04-20,04:36:00,06:07:00,12:43:00,16:24:00,19:23:00,20:46:00
2023-04-21,04:35:00,06:06:00,12:43:00,16:24:00,19:24:00,20:47:00
2023-04-22,04:32:00,06:04:00,12:43:00,16:25:00,19:26:00,20:49:00
2023-04-23,04:31:00,06:03:00,12:43:00,16:25:00,19:27:00,20:50:00
2023-04-24,04:29:00,06:01:00,12:43:00,16:26:00,19:28:00,20:51:00
2023-04-25,04:28:00,06:00:00,12:42:00,16:26:00,19:28:00,20:52:00
2023-04-26,04:27:00,05:59:00,12:42:00,16:26:00,19:29:00,20:53:00
2023-04-27,04:25:00,05:58:00,12:42:00,16:26:00,19:30:00,20:54:00
2023-04-28,04:24:00,05:57:00,12:42:00,16:26:00,19:31:00,20:55:00
2023-04-29,04:22:00,05:56:00,12:42:00,16:26:00,19:31:00,20:57:00
2023-04-30,04:21:00,05:55:00,12:42:00,16:26:00,19:32:00,20:58:00
2023-05-01,04:20:00,05:54:00,12:42:00,16:26:00,19:33:00,20:59:00
2023-05-02,04:18:00,05:53:00,12:42:00,16:26:00,19:34:00,21:00:00
2023-05-03,04:17:00,05:52:00,12:41:00,16:26:00,19:35:00,21:01:00
2023-05-04,04:15:00,05:51:00,12:41:00,16:26:00,19:35:00,21:02:00
2023-05-05,04:14:00,05:50:00,12:41:00,16:26:00,19:36:00,21:03:00
2023-05-06,04:13:00,05:49:00,12:41:00,16:27:00,19:37:00,21:04:00
2023-05-07,04:12:00,05:48:00,12:41:00,16:27:00,19:38:00,21:05:00
2023-05-08,04:10:00,05:47:00,12:41:00,16:27:00,19:39:00,21:06:00
2023-05-09,04:09:00,05:46:00,12:41:00,16:27:00,19:39:00,21:08:00
2023-05-10,04:08:00,05:45:00,12:41:00,16:27:00,19:40:00,21:09:00
2023-05-11,04:07:00,05:44:00,12:41:00,16:27:00,19:41:00,21:10:00
2023-05-12,04:05:00,05:43:00,12:41:00,16:27:00,19:42:00,21:11:00
2023-05-13,04:04:00,05:43:00,12:41:00,16:27:00,19:43:00,21:12:00
2023-05-14,04:03:00,05:42:00,12:41:00,16:27:00,19:43:00,21:13:00
2023-05-15,04:02:00,05:41:00,12:41:00,16:27:00,19:44:00,21:14:00
2023-05-16,04:01:00,05:40:00,12:41:00,16:28:00,19:45:00,21:15:00
2023-05-17,04:00:00,05:40:00,12:41:00,16:28:00,19:46:00,21:16:00
2023-05-18,03:59:00,05:39:00,12:41:00,16:28:00,19:46:00,21:17:00
2023-05-19,03:58:00,05:38:00,12:41:00,16:28:00,19:47:00,21:18:00
2023-05-20,03:57:00,05:38:00,12:41:00,16:28:00,19:48:00,21:19:00
2023-05-21,03:55:00,05:36:00,12:41:00,16:28:00,19:49:00,21:22:00
2023-05-22,03:54:00,05:35:00,12:41:00,16:28:00,19:49:00,21:23:00
2023-05-23,03:53:00,05:35:00,12:41:00,16:28:00,19:50:00,21:24:00
2023-05-24,03:52:00,05:34:00,12:41:00,16:29:00,19:51:00,21:25:00
2023-05-25,03:51:00,05:34:00,12:41:00,16:29:00,19:51:00,21:26:00
2023-05-26,03:51:00,05:33:00,12:42:00,16:29:00,19:52:00,21:26:00
2023-05-27,03:50:00,05:33:00,12:42:00,16:29:00,19:53:00,21:27:00
2023-05-28,03:49:00,05:32:00,12:42:00,16:29:00,19:54:00,21:28:00
2023-05-29,03:48:00,05:32:00,12:42:00,16:29:00,19:54:00,21:29:00
2023-05-30,03:48:00,05:31:00,12:42:00,16:30:00,19:55:00,21:30:00
2023-05-31,03:47:00,05:31:00,12:42:00,16:30:00,19:55:00,21:31:00
2023-06-01,03:46:00,05:31:00,12:42:00,16:30:00,19:56:00,21:32:00
2023-06-02,03:46:00,05:30:00,12:42:00,16:30:00,19:57:00,21:33:00
2023-06-03,03:45:00,05:30:00,12:43:00,16:30:00,19:57:00,21:34:00
2023-06-04,03:45:00,05:30:00,12:43:00,16:30:00,19:58:00,21:34:00
2023-06-05,03:44:00,05:30:00,12:43:00,16:31:00,19:58:00,21:35:00
2023-06-06,03:44:00,05:30:00,12:43:00,16:31:00,19:59:00,21:36:00
2023-06-07,03:44:00,05:29:00,12:43:00,16:31:00,19:59:00,21:36:00
2023-06-08,03:43:00,05:29:00,12:43:00,16:31:00,20:00:00,21:37:00
2023-06-09,03:43:00,05:29:00,12:44:00,16:31:00,20:00:00,21:38:00
2023-06-10,03:43:00,05:29:00,12:44:00,16:32:00,20:01:00,21:38:00
2023-06-11,03:43:00,05:29:00,12:44:00,16:32:00,20:01:00,21:39:00
2023-06-12,03:42:00,05:29:00,12:44:00,16:32:00,20:02:00,21:40:00
2023-06-13,03:42:00,05:29:00,12:45:00,16:32:00,20:02:00,21:40:00
2023-06-14,03:42:00,05:29:00,12:45:00,16:32:00,20:03:00,21:41:00
2023-06-15,03:42:00,05:29:00,12:45:00,16:33:00,20:03:00,21:41:00
2023-06-16,03:42:00,05:29:00,12:45:00,16:33:00,20:03:00,21:41:00
2023-06-17,03:42:00,05:29:00,12:45:00,16:33:00,20:04:00,21:42:00
2023-06-18,03:42:00,05:29:00,12:46:00,16:33:00,20:04:00,21:42:00
